,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.79,0.73,0.59,0.60,0.50,0.41,0.44,0.35,0.39,0.35,0.37,0.34,0.32,0.31,0.28,0.28,0.29,0.27,0.28,0.28,0.24,0.26,0.28,0.26,0.26,0.24,0.23,0.26,0.30,0.29,0.28,0.26,0.26,0.24,0.22,0.22,0.27,0.30,0.32,0.32,0.33,0.32,0.31,0.30,0.30,0.29,0.28,0.27,0.24,0.26,0.22,0.24,0.26,0.29,0.35,0.37,0.37,0.38,0.39,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.40,0.40,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.30,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.24,0.23,0.22,
2,0.73,0.65,0.60,0.55,0.51,0.44,0.43,0.36,0.39,0.35,0.35,0.33,0.30,0.32,0.29,0.29,0.27,0.31,0.26,0.27,0.27,0.24,0.29,0.27,0.25,0.24,0.22,0.28,0.30,0.29,0.28,0.26,0.26,0.24,0.22,0.22,0.26,0.30,0.31,0.32,0.31,0.32,0.31,0.31,0.30,0.29,0.28,0.25,0.24,0.24,0.22,0.21,0.25,0.32,0.33,0.36,0.37,0.39,0.40,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.40,0.40,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.30,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,
3,0.59,0.60,0.58,0.52,0.45,0.43,0.42,0.38,0.36,0.33,0.33,0.32,0.29,0.28,0.29,0.26,0.25,0.25,0.28,0.26,0.25,0.25,0.28,0.27,0.25,0.23,0.22,0.25,0.29,0.29,0.27,0.26,0.25,0.24,0.22,0.21,0.26,0.29,0.31,0.32,0.32,0.32,0.30,0.30,0.29,0.29,0.28,0.26,0.24,0.25,0.22,0.22,0.23,0.31,0.33,0.35,0.37,0.38,0.39,0.40,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.40,0.40,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.30,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,
4,0.60,0.55,0.52,0.54,0.46,0.47,0.41,0.40,0.36,0.33,0.32,0.32,0.30,0.31,0.28,0.28,0.28,0.26,0.28,0.27,0.27,0.26,0.27,0.26,0.24,0.23,0.22,0.26,0.29,0.29,0.28,0.26,0.25,0.24,0.21,0.22,0.26,0.30,0.30,0.31,0.31,0.32,0.31,0.30,0.29,0.30,0.27,0.26,0.24,0.24,0.22,0.24,0.25,0.31,0.33,0.35,0.37,0.39,0.40,0.40,0.41,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.30,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,
5,0.50,0.51,0.45,0.46,0.44,0.42,0.38,0.36,0.36,0.34,0.34,0.30,0.28,0.28,0.29,0.28,0.28,0.27,0.28,0.25,0.26,0.27,0.27,0.27,0.26,0.23,0.22,0.27,0.28,0.28,0.27,0.25,0.25,0.23,0.21,0.21,0.26,0.29,0.31,0.31,0.32,0.32,0.30,0.30,0.30,0.28,0.26,0.26,0.24,0.25,0.25,0.20,0.23,0.31,0.34,0.36,0.36,0.39,0.40,0.40,0.41,0.41,0.41,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.30,0.30,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,
6,0.41,0.44,0.43,0.47,0.42,0.43,0.38,0.38,0.36,0.34,0.32,0.33,0.29,0.31,0.29,0.29,0.27,0.28,0.28,0.26,0.27,0.25,0.28,0.25,0.24,0.23,0.24,0.25,0.29,0.28,0.27,0.25,0.24,0.23,0.22,0.22,0.26,0.29,0.29,0.32,0.32,0.31,0.31,0.30,0.29,0.28,0.26,0.26,0.23,0.24,0.23,0.22,0.25,0.30,0.32,0.36,0.37,0.39,0.40,0.40,0.41,0.41,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.30,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,
7,0.44,0.43,0.42,0.41,0.38,0.38,0.33,0.36,0.34,0.34,0.33,0.30,0.28,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.26,0.27,0.26,0.27,0.24,0.24,0.23,0.25,0.27,0.28,0.26,0.25,0.24,0.23,0.22,0.21,0.26,0.30,0.31,0.31,0.31,0.31,0.31,0.30,0.28,0.27,0.26,0.26,0.23,0.23,0.21,0.20,0.25,0.30,0.32,0.36,0.38,0.39,0.39,0.40,0.41,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.30,0.30,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.22,
8,0.35,0.36,0.38,0.40,0.36,0.38,0.36,0.34,0.34,0.33,0.32,0.33,0.32,0.31,0.29,0.28,0.28,0.26,0.26,0.26,0.26,0.28,0.27,0.26,0.25,0.24,0.24,0.24,0.27,0.27,0.26,0.25,0.24,0.23,0.22,0.23,0.25,0.29,0.30,0.30,0.31,0.31,0.31,0.29,0.28,0.27,0.25,0.25,0.25,0.23,0.21,0.22,0.21,0.29,0.33,0.34,0.36,0.38,0.39,0.39,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.41,0.40,0.40,0.40,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.30,0.30,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.22,
9,0.39,0.39,0.36,0.36,0.36,0.36,0.34,0.34,0.35,0.35,0.32,0.32,0.30,0.28,0.30,0.28,0.28,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.26,0.27,0.25,0.24,0.24,0.22,0.23,0.23,0.26,0.29,0.30,0.30,0.30,0.30,0.30,0.30,0.29,0.27,0.25,0.24,0.23,0.22,0.23,0.21,0.22,0.29,0.33,0.35,0.37,0.38,0.40,0.40,0.40,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.40,0.40,0.40,0.40,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.30,0.30,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.22,
10,0.35,0.35,0.33,0.33,0.34,0.34,0.34,0.33,0.35,0.29,0.31,0.31,0.29,0.30,0.27,0.30,0.26,0.27,0.28,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.22,0.26,0.26,0.27,0.25,0.25,0.24,0.22,0.22,0.23,0.26,0.28,0.30,0.30,0.30,0.30,0.29,0.29,0.27,0.27,0.26,0.25,0.25,0.23,0.22,0.23,0.27,0.30,0.33,0.35,0.37,0.38,0.39,0.40,0.40,0.40,0.40,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.40,0.40,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.30,0.30,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.23,0.23,0.22,
