,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.1,0.22,0.17,0.18,0.17,0.4,0.37,0.35,0.35,0.35,0.37,0.33,0.32,0.31,0.28,0.28,0.29,0.27,0.28,0.28,0.24,0.26,0.28,0.26,0.26,0.24,0.23,0.26,0.3,0.29,0.27,0.26,0.26,0.24,0.22,0.22,0.27,0.3,0.32,0.32,0.33,0.32,0.31,0.3,0.29,0.28,0.26,0.25,0.24,0.26,0.22,0.24,0.26,0.29,0.35,0.37,0.37,0.38,0.39,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.61
2,0.22,0.1,0.19,0.18,0.18,0.14,0.16,0.16,0.17,0.16,0.16,0.17,0.2,0.14,0.29,0.13,0.27,0.16,0.26,0.23,0.27,0.24,0.29,0.27,0.25,0.24,0.22,0.28,0.3,0.29,0.28,0.26,0.26,0.24,0.22,0.22,0.26,0.3,0.31,0.32,0.31,0.32,0.31,0.31,0.29,0.28,0.28,0.25,0.24,0.24,0.22,0.21,0.25,0.32,0.33,0.36,0.37,0.39,0.4,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.61
3,0.17,0.19,0.11,0.16,0.18,0.14,0.18,0.15,0.17,0.16,0.16,0.32,0.29,0.28,0.29,0.26,0.25,0.25,0.28,0.26,0.25,0.25,0.28,0.27,0.25,0.23,0.22,0.25,0.29,0.29,0.27,0.26,0.25,0.24,0.22,0.21,0.26,0.29,0.31,0.32,0.32,0.32,0.3,0.3,0.29,0.29,0.28,0.26,0.24,0.25,0.22,0.22,0.23,0.31,0.33,0.35,0.37,0.38,0.39,0.4,0.41,0.41,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.61
4,0.18,0.18,0.16,0.11,0.18,0.15,0.15,0.15,0.17,0.16,0.17,0.16,0.19,0.14,0.28,0.14,0.28,0.16,0.28,0.22,0.27,0.26,0.27,0.26,0.24,0.23,0.22,0.26,0.29,0.29,0.28,0.26,0.25,0.24,0.21,0.22,0.26,0.3,0.3,0.31,0.31,0.32,0.31,0.3,0.29,0.3,0.27,0.26,0.24,0.24,0.22,0.24,0.25,0.31,0.33,0.35,0.37,0.39,0.4,0.4,0.41,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.61
5,0.17,0.18,0.18,0.18,0.12,0.15,0.17,0.15,0.17,0.16,0.17,0.3,0.28,0.28,0.29,0.28,0.28,0.27,0.28,0.25,0.26,0.27,0.27,0.27,0.26,0.23,0.22,0.27,0.28,0.28,0.27,0.25,0.25,0.23,0.21,0.21,0.26,0.29,0.31,0.31,0.32,0.32,0.3,0.3,0.3,0.28,0.26,0.26,0.24,0.25,0.25,0.2,0.23,0.31,0.34,0.36,0.36,0.39,0.4,0.4,0.41,0.41,0.41,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.61
6,0.4,0.14,0.14,0.15,0.15,0.11,0.18,0.16,0.17,0.17,0.18,0.18,0.19,0.15,0.29,0.13,0.27,0.16,0.28,0.22,0.27,0.25,0.28,0.25,0.24,0.23,0.24,0.25,0.29,0.28,0.27,0.25,0.24,0.23,0.22,0.22,0.26,0.29,0.29,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.26,0.26,0.23,0.24,0.23,0.22,0.25,0.3,0.32,0.36,0.37,0.39,0.4,0.4,0.41,0.41,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.6
7,0.37,0.16,0.18,0.15,0.17,0.18,0.12,0.17,0.16,0.18,0.19,0.3,0.28,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.26,0.27,0.26,0.27,0.24,0.24,0.23,0.25,0.27,0.28,0.26,0.25,0.24,0.23,0.22,0.21,0.26,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.27,0.26,0.26,0.23,0.23,0.21,0.2,0.25,0.3,0.32,0.36,0.38,0.39,0.39,0.4,0.41,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.22,0.6
8,0.35,0.16,0.15,0.15,0.15,0.16,0.17,0.12,0.19,0.19,0.19,0.16,0.18,0.16,0.29,0.16,0.28,0.17,0.26,0.22,0.26,0.28,0.27,0.26,0.25,0.24,0.24,0.24,0.27,0.27,0.26,0.25,0.24,0.23,0.22,0.23,0.25,0.29,0.3,0.3,0.31,0.31,0.31,0.29,0.28,0.27,0.25,0.25,0.25,0.23,0.21,0.22,0.21,0.29,0.33,0.34,0.36,0.38,0.39,0.39,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.22,0.6
9,0.35,0.17,0.17,0.17,0.17,0.17,0.16,0.19,0.14,0.21,0.17,0.32,0.3,0.28,0.3,0.28,0.28,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.26,0.27,0.25,0.24,0.24,0.22,0.23,0.23,0.26,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.27,0.25,0.24,0.23,0.22,0.23,0.21,0.22,0.29,0.33,0.35,0.37,0.38,0.4,0.4,0.4,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.23,0.22,0.6
10,0.35,0.16,0.16,0.16,0.16,0.17,0.18,0.19,0.21,0.14,0.16,0.21,0.17,0.18,0.27,0.17,0.26,0.15,0.28,0.21,0.27,0.26,0.26,0.26,0.26,0.26,0.22,0.26,0.26,0.27,0.25,0.25,0.24,0.22,0.22,0.23,0.26,0.28,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.27,0.26,0.25,0.25,0.23,0.22,0.23,0.27,0.3,0.33,0.35,0.37,0.38,0.39,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.23,0.23,0.22,0.6
