,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
5,0.21,0.41,0.42,0.47,0.43,0.5,0.43,0.35,0.46,0.6,0.56,0.52,0.48,0.45,0.41,0.37,0.33,0.29,0.63,0.61
10,0.41,0.21,0.41,0.41,0.48,0.42,0.52,0.47,0.61,0.58,0.54,0.5,0.47,0.43,0.39,0.35,0.54,0.52,0.62,0.6
15,0.42,0.41,0.29,0.33,0.44,0.47,0.63,0.6,0.57,0.54,0.51,0.47,0.44,0.4,0.58,0.55,0.64,0.63,0.61,0.59
20,0.47,0.41,0.33,0.21,0.4,0.41,0.55,0.53,0.51,0.48,0.46,0.42,0.6,0.57,0.55,0.53,0.63,0.61,0.59,0.58
25,0.43,0.48,0.44,0.4,0.21,0.44,0.44,0.44,0.43,0.41,0.59,0.58,0.56,0.54,0.64,0.62,0.61,0.59,0.58,0.56
30,0.5,0.42,0.47,0.41,0.44,0.29,0.32,0.33,0.56,0.55,0.54,0.53,0.51,0.5,0.61,0.6,0.58,0.57,0.55,0.54
35,0.43,0.52,0.63,0.55,0.44,0.32,0.45,0.47,0.48,0.48,0.48,0.47,0.6,0.59,0.58,0.57,0.55,0.54,0.53,0.51
40,0.35,0.47,0.6,0.53,0.44,0.33,0.47,0.37,0.39,0.4,0.41,0.41,0.55,0.55,0.54,0.53,0.52,0.51,0.49,0.48
45,0.46,0.61,0.57,0.51,0.43,0.56,0.48,0.39,0.29,0.31,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.47,0.46,0.45
50,0.6,0.58,0.54,0.48,0.41,0.55,0.48,0.4,0.31,0.21,0.43,0.44,0.44,0.45,0.44,0.44,0.44,0.43,0.42,0.41
55,0.56,0.54,0.51,0.46,0.59,0.54,0.48,0.41,0.5,0.43,0.57,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58
60,0.52,0.5,0.47,0.42,0.58,0.53,0.47,0.41,0.5,0.44,0.58,0.53,0.54,0.55,0.55,0.56,0.56,0.56,0.55,0.55
65,0.48,0.47,0.44,0.6,0.56,0.51,0.6,0.55,0.5,0.44,0.59,0.54,0.49,0.5,0.51,0.51,0.52,0.52,0.52,0.52
70,0.45,0.43,0.4,0.57,0.54,0.5,0.59,0.55,0.5,0.45,0.59,0.55,0.5,0.45,0.46,0.47,0.48,0.48,0.48,0.48
75,0.41,0.39,0.58,0.55,0.64,0.61,0.58,0.54,0.49,0.44,0.59,0.55,0.51,0.46,0.41,0.42,0.43,0.44,0.44,0.44
80,0.37,0.35,0.55,0.53,0.62,0.6,0.57,0.53,0.49,0.44,0.59,0.56,0.51,0.47,0.42,0.37,0.38,0.39,0.4,0.4
85,0.33,0.54,0.64,0.63,0.61,0.58,0.55,0.52,0.48,0.44,0.59,0.56,0.52,0.48,0.43,0.38,0.33,0.35,0.35,0.36
90,0.29,0.52,0.63,0.61,0.59,0.57,0.54,0.51,0.47,0.43,0.59,0.56,0.52,0.48,0.44,0.39,0.35,0.29,0.31,0.31
95,0.63,0.62,0.61,0.59,0.58,0.55,0.53,0.49,0.46,0.42,0.58,0.55,0.52,0.48,0.44,0.4,0.35,0.31,0.25,0.27
100,0.61,0.6,0.59,0.58,0.56,0.54,0.51,0.48,0.45,0.41,0.58,0.55,0.52,0.48,0.44,0.4,0.36,0.31,0.27,0.21
