,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.21,0.61,0.68,0.71,0.72,0.73,0.73,0.74,0.73,0.73,0.74,0.75,0.76,0.74,0.76,0.75,0.78,0.76,0.75,0.74,0.78,0.77,0.76,0.75,0.74,0.8,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.82,0.82,0.81,0.81,0.8,0.8,0.79,0.79,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.87,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74
2,0.61,0.21,0.51,0.61,0.65,0.69,0.7,0.72,0.72,0.72,0.72,0.73,0.75,0.73,0.76,0.74,0.77,0.76,0.75,0.73,0.78,0.77,0.76,0.75,0.73,0.79,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.82,0.82,0.81,0.81,0.8,0.79,0.79,0.79,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.86,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74
3,0.68,0.51,0.22,0.44,0.55,0.62,0.65,0.68,0.68,0.69,0.7,0.72,0.74,0.72,0.75,0.73,0.76,0.75,0.74,0.73,0.77,0.76,0.75,0.74,0.73,0.79,0.78,0.78,0.77,0.76,0.75,0.74,0.74,0.82,0.81,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.86,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74
4,0.71,0.61,0.44,0.21,0.4,0.53,0.58,0.62,0.64,0.65,0.67,0.69,0.72,0.7,0.73,0.72,0.75,0.74,0.73,0.72,0.76,0.75,0.74,0.74,0.72,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.82,0.81,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.73,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74
5,0.72,0.65,0.55,0.4,0.21,0.4,0.48,0.55,0.58,0.61,0.63,0.66,0.69,0.68,0.71,0.7,0.74,0.73,0.72,0.71,0.76,0.75,0.74,0.73,0.72,0.78,0.77,0.77,0.76,0.75,0.74,0.74,0.73,0.81,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74
6,0.73,0.69,0.62,0.53,0.4,0.25,0.37,0.47,0.51,0.55,0.59,0.62,0.66,0.65,0.69,0.68,0.72,0.71,0.7,0.69,0.74,0.74,0.73,0.72,0.71,0.77,0.77,0.76,0.75,0.75,0.74,0.73,0.72,0.81,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74
7,0.73,0.7,0.65,0.58,0.48,0.37,0.23,0.36,0.43,0.48,0.53,0.58,0.62,0.62,0.66,0.65,0.7,0.69,0.68,0.67,0.73,0.72,0.72,0.71,0.7,0.77,0.76,0.75,0.75,0.74,0.73,0.73,0.72,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.86,0.86,0.86,0.85,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74
8,0.74,0.72,0.68,0.62,0.55,0.47,0.36,0.25,0.33,0.4,0.47,0.53,0.58,0.58,0.63,0.62,0.68,0.67,0.66,0.65,0.72,0.71,0.7,0.69,0.68,0.76,0.75,0.74,0.74,0.73,0.72,0.72,0.71,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.86,0.86,0.85,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.73
9,0.73,0.72,0.68,0.64,0.58,0.51,0.43,0.33,0.22,0.31,0.39,0.47,0.53,0.53,0.6,0.59,0.65,0.65,0.64,0.63,0.7,0.69,0.69,0.68,0.67,0.75,0.74,0.73,0.73,0.72,0.72,0.71,0.7,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.86,0.86,0.85,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.73
10,0.73,0.72,0.69,0.65,0.61,0.55,0.48,0.4,0.31,0.21,0.31,0.4,0.48,0.48,0.56,0.55,0.62,0.62,0.61,0.61,0.68,0.67,0.67,0.66,0.65,0.74,0.73,0.72,0.72,0.71,0.71,0.7,0.69,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.86,0.85,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.73
