,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.21,0.41,0.42,0.42,0.41,0.4,0.37,0.35,0.35,0.36,0.39,0.33,0.38,0.33,0.35,0.37,0.33,0.29,0.4,0.37,0.34,0.31,0.28,0.43,0.41,0.39,0.36,0.34,0.32,0.29,0.27,0.37,0.48,0.47,0.45,0.43,0.42,0.4,0.39,0.37,0.36,0.34,0.33,0.31,0.29,0.28,0.26,0.25,0.42,0.61,0.6,0.59,0.58,0.58,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.51,0.51,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.43,0.43,0.42,0.41,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.48,0.61
2,0.41,0.21,0.38,0.41,0.43,0.42,0.42,0.43,0.42,0.41,0.45,0.4,0.39,0.43,0.39,0.35,0.45,0.42,0.39,0.36,0.33,0.39,0.45,0.43,0.4,0.38,0.36,0.33,0.31,0.37,0.51,0.49,0.48,0.46,0.45,0.43,0.42,0.4,0.38,0.37,0.36,0.34,0.32,0.31,0.29,0.28,0.38,0.43,0.61,0.61,0.6,0.59,0.58,0.58,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.43,0.43,0.42,0.41,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.49,0.49,0.61,0.61
3,0.42,0.38,0.22,0.33,0.39,0.44,0.44,0.44,0.44,0.44,0.44,0.47,0.44,0.4,0.43,0.46,0.43,0.4,0.37,0.43,0.49,0.46,0.44,0.42,0.39,0.37,0.35,0.4,0.42,0.52,0.51,0.49,0.47,0.46,0.44,0.43,0.41,0.4,0.38,0.36,0.35,0.33,0.32,0.3,0.41,0.45,0.44,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.57,0.56,0.55,0.54,0.53,0.53,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.43,0.42,0.41,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.35,0.34,0.33,0.32,0.32,0.31,0.3,0.29,0.28,0.28,0.27,0.26,0.5,0.49,0.49,0.61,0.61,0.61
4,0.42,0.41,0.33,0.21,0.31,0.38,0.41,0.43,0.44,0.43,0.45,0.42,0.45,0.49,0.46,0.43,0.41,0.43,0.43,0.49,0.47,0.45,0.43,0.4,0.38,0.43,0.45,0.43,0.53,0.51,0.5,0.48,0.47,0.45,0.44,0.42,0.41,0.39,0.37,0.36,0.35,0.33,0.43,0.41,0.46,0.45,0.63,0.62,0.61,0.6,0.59,0.59,0.58,0.57,0.57,0.56,0.55,0.54,0.53,0.53,0.52,0.51,0.5,0.49,0.49,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.4,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.28,0.51,0.51,0.5,0.49,0.62,0.61,0.61,0.61
5,0.41,0.43,0.39,0.31,0.21,0.33,0.37,0.38,0.43,0.41,0.43,0.43,0.47,0.45,0.42,0.45,0.45,0.51,0.49,0.47,0.45,0.43,0.41,0.45,0.43,0.45,0.55,0.53,0.52,0.5,0.49,0.47,0.46,0.44,0.43,0.41,0.4,0.38,0.37,0.35,0.45,0.43,0.48,0.47,0.46,0.63,0.62,0.62,0.61,0.6,0.59,0.58,0.58,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.34,0.33,0.32,0.31,0.3,0.3,0.29,0.52,0.52,0.51,0.51,0.5,0.62,0.62,0.61,0.61,0.61
6,0.4,0.42,0.44,0.38,0.33,0.25,0.32,0.33,0.38,0.39,0.45,0.44,0.42,0.45,0.46,0.44,0.5,0.48,0.46,0.44,0.42,0.47,0.45,0.47,0.45,0.55,0.53,0.52,0.51,0.49,0.48,0.46,0.45,0.43,0.42,0.4,0.39,0.37,0.47,0.45,0.44,0.49,0.47,0.46,0.63,0.63,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.34,0.33,0.33,0.32,0.31,0.3,0.53,0.52,0.52,0.51,0.51,0.5,0.62,0.62,0.62,0.61,0.61,0.6
7,0.37,0.42,0.44,0.41,0.37,0.32,0.23,0.31,0.38,0.38,0.37,0.42,0.44,0.42,0.49,0.48,0.46,0.45,0.43,0.48,0.46,0.48,0.47,0.45,0.55,0.53,0.52,0.51,0.49,0.48,0.46,0.45,0.44,0.42,0.41,0.39,0.48,0.47,0.46,0.5,0.49,0.48,0.47,0.64,0.63,0.62,0.62,0.61,0.6,0.59,0.58,0.58,0.57,0.56,0.56,0.55,0.54,0.53,0.52,0.52,0.51,0.5,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.44,0.44,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.35,0.35,0.34,0.33,0.32,0.32,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.63,0.62,0.62,0.62,0.61,0.61,0.6
8,0.35,0.43,0.44,0.43,0.38,0.33,0.31,0.25,0.27,0.34,0.35,0.38,0.4,0.46,0.45,0.43,0.42,0.47,0.46,0.45,0.47,0.45,0.55,0.54,0.53,0.52,0.5,0.49,0.48,0.46,0.45,0.44,0.42,0.41,0.5,0.48,0.47,0.46,0.5,0.49,0.48,0.47,0.64,0.63,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.39,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.33,0.55,0.54,0.54,0.53,0.53,0.52,0.52,0.51,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6
9,0.35,0.42,0.44,0.44,0.43,0.38,0.38,0.27,0.22,0.31,0.33,0.4,0.4,0.4,0.39,0.45,0.44,0.44,0.46,0.45,0.44,0.54,0.53,0.52,0.51,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.5,0.49,0.48,0.47,0.51,0.5,0.49,0.48,0.47,0.64,0.63,0.63,0.62,0.61,0.61,0.6,0.59,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.51,0.5,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.44,0.44,0.43,0.42,0.41,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.35,0.35,0.56,0.55,0.55,0.54,0.54,0.53,0.52,0.52,0.51,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.6
10,0.36,0.41,0.44,0.43,0.41,0.39,0.38,0.34,0.31,0.21,0.31,0.33,0.33,0.41,0.41,0.4,0.44,0.43,0.42,0.41,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.42,0.51,0.5,0.49,0.48,0.47,0.51,0.5,0.49,0.48,0.47,0.64,0.63,0.63,0.62,0.61,0.6,0.6,0.59,0.58,0.58,0.57,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.36,0.35,0.56,0.56,0.55,0.55,0.54,0.54,0.53,0.53,0.52,0.52,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.6,0.6
