,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.1,0.55,0.63,0.67,0.68,0.68,0.7,0.7,0.71,0.71,0.7,0.72,0.7,0.71,0.73,0.71,0.73,0.71,0.74,0.73,0.71,0.7,0.74,0.73,0.73,0.76,0.75,0.75,0.74,0.73,0.72,0.71,0.7,0.77,0.76,0.75,0.75,0.74,0.73,0.76,0.81,0.81,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.7,0.7,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.78,0.84
2,0.55,0.1,0.44,0.56,0.61,0.63,0.67,0.67,0.69,0.69,0.68,0.71,0.69,0.7,0.72,0.7,0.72,0.71,0.74,0.72,0.71,0.7,0.74,0.72,0.73,0.76,0.75,0.74,0.73,0.73,0.72,0.71,0.7,0.77,0.76,0.75,0.75,0.74,0.73,0.76,0.81,0.81,0.8,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.7,0.7,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.78,0.84
3,0.63,0.44,0.12,0.37,0.49,0.57,0.61,0.63,0.65,0.66,0.68,0.69,0.67,0.69,0.71,0.69,0.71,0.71,0.73,0.72,0.7,0.72,0.73,0.72,0.73,0.76,0.75,0.74,0.73,0.72,0.71,0.71,0.75,0.77,0.76,0.75,0.75,0.74,0.73,0.76,0.81,0.81,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.7,0.8,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.85,0.84
4,0.67,0.56,0.37,0.11,0.33,0.45,0.53,0.57,0.6,0.62,0.64,0.67,0.65,0.67,0.69,0.67,0.7,0.7,0.72,0.71,0.69,0.72,0.72,0.71,0.72,0.75,0.74,0.74,0.73,0.72,0.71,0.7,0.74,0.76,0.76,0.75,0.74,0.74,0.73,0.75,0.81,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.71,0.71,0.7,0.8,0.85,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.85,0.84
5,0.68,0.61,0.49,0.33,0.12,0.31,0.42,0.48,0.54,0.57,0.6,0.63,0.62,0.66,0.67,0.65,0.68,0.69,0.71,0.69,0.68,0.71,0.71,0.71,0.71,0.75,0.74,0.73,0.72,0.71,0.7,0.7,0.74,0.76,0.75,0.75,0.74,0.73,0.73,0.75,0.81,0.8,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.8,0.85,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.85,0.85,0.84
6,0.68,0.63,0.57,0.45,0.31,0.13,0.3,0.38,0.46,0.51,0.55,0.59,0.61,0.62,0.64,0.63,0.66,0.67,0.69,0.68,0.67,0.69,0.7,0.69,0.71,0.74,0.73,0.72,0.71,0.71,0.7,0.69,0.73,0.75,0.75,0.74,0.74,0.73,0.75,0.75,0.81,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.71,0.8,0.8,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.85,0.85,0.84
7,0.7,0.67,0.61,0.53,0.42,0.3,0.14,0.27,0.37,0.43,0.49,0.54,0.57,0.59,0.61,0.6,0.64,0.65,0.67,0.66,0.65,0.68,0.69,0.68,0.69,0.73,0.72,0.71,0.71,0.7,0.69,0.68,0.73,0.75,0.74,0.74,0.73,0.72,0.75,0.74,0.8,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.8,0.8,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.85,0.85,0.84,0.84
8,0.7,0.67,0.63,0.57,0.48,0.38,0.27,0.13,0.26,0.35,0.42,0.49,0.52,0.55,0.57,0.57,0.61,0.62,0.65,0.64,0.63,0.66,0.68,0.67,0.68,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.72,0.74,0.74,0.73,0.72,0.72,0.74,0.74,0.8,0.8,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.71,0.7,0.8,0.79,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.85,0.85,0.84,0.84
9,0.71,0.69,0.65,0.6,0.54,0.46,0.37,0.26,0.14,0.25,0.34,0.42,0.46,0.5,0.53,0.57,0.58,0.59,0.63,0.62,0.61,0.65,0.66,0.68,0.67,0.71,0.7,0.69,0.69,0.68,0.67,0.72,0.71,0.74,0.73,0.72,0.72,0.71,0.74,0.73,0.8,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.7,0.8,0.8,0.79,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.85,0.85,0.85,0.84,0.84
10,0.71,0.69,0.66,0.62,0.57,0.51,0.43,0.35,0.25,0.14,0.25,0.35,0.4,0.44,0.49,0.53,0.54,0.56,0.6,0.59,0.59,0.62,0.64,0.66,0.65,0.7,0.69,0.68,0.67,0.67,0.66,0.71,0.71,0.73,0.72,0.72,0.71,0.71,0.73,0.73,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.71,0.71,0.7,0.7,0.8,0.79,0.79,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.85,0.85,0.85,0.84,0.84
