,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
5,0.12,0.57,0.67,0.69,0.71,0.71,0.75,0.75,0.79,0.77,0.75,0.72,0.7,0.84,0.83,0.82,0.81,0.79,0.78,0.84
10,0.57,0.14,0.49,0.59,0.65,0.67,0.72,0.73,0.78,0.76,0.73,0.71,0.79,0.84,0.82,0.81,0.8,0.79,0.78,0.84
15,0.67,0.49,0.19,0.42,0.55,0.59,0.67,0.69,0.75,0.73,0.71,0.69,0.78,0.83,0.81,0.81,0.8,0.78,0.85,0.84
20,0.69,0.59,0.42,0.18,0.4,0.49,0.61,0.64,0.72,0.7,0.68,0.67,0.77,0.82,0.8,0.8,0.79,0.78,0.84,0.83
25,0.71,0.65,0.55,0.4,0.21,0.46,0.52,0.57,0.67,0.66,0.65,0.76,0.75,0.8,0.79,0.78,0.77,0.84,0.84,0.82
30,0.71,0.67,0.59,0.49,0.46,0.32,0.48,0.49,0.62,0.61,0.6,0.73,0.72,0.78,0.77,0.77,0.76,0.83,0.83,0.82
35,0.75,0.72,0.67,0.61,0.52,0.48,0.37,0.39,0.55,0.55,0.55,0.7,0.69,0.76,0.75,0.75,0.83,0.82,0.82,0.81
40,0.75,0.73,0.69,0.64,0.57,0.49,0.39,0.28,0.47,0.48,0.66,0.66,0.66,0.74,0.73,0.73,0.81,0.81,0.81,0.8
45,0.79,0.78,0.75,0.72,0.67,0.62,0.55,0.47,0.39,0.41,0.61,0.61,0.62,0.71,0.71,0.8,0.8,0.8,0.79,0.78
50,0.77,0.76,0.73,0.7,0.66,0.61,0.55,0.48,0.41,0.32,0.56,0.57,0.57,0.68,0.68,0.78,0.78,0.78,0.78,0.77
55,0.75,0.73,0.71,0.68,0.65,0.6,0.55,0.66,0.61,0.56,0.5,0.52,0.52,0.65,0.76,0.76,0.76,0.76,0.76,0.75
60,0.72,0.71,0.69,0.67,0.76,0.73,0.7,0.66,0.61,0.57,0.52,0.46,0.47,0.61,0.74,0.74,0.74,0.74,0.74,0.74
65,0.7,0.79,0.78,0.77,0.75,0.72,0.69,0.66,0.62,0.57,0.52,0.47,0.41,0.71,0.72,0.72,0.72,0.72,0.72,0.72
70,0.84,0.84,0.83,0.82,0.8,0.78,0.76,0.74,0.71,0.68,0.65,0.61,0.71,0.68,0.69,0.69,0.7,0.7,0.7,0.7
75,0.83,0.82,0.81,0.8,0.79,0.77,0.75,0.73,0.71,0.68,0.76,0.74,0.72,0.69,0.66,0.67,0.67,0.68,0.68,0.68
80,0.82,0.81,0.81,0.8,0.78,0.77,0.75,0.73,0.8,0.78,0.76,0.74,0.72,0.69,0.67,0.64,0.64,0.65,0.65,0.66
85,0.81,0.8,0.8,0.79,0.77,0.76,0.83,0.81,0.8,0.78,0.76,0.74,0.72,0.7,0.67,0.64,0.61,0.62,0.63,0.63
90,0.79,0.79,0.78,0.78,0.84,0.83,0.82,0.81,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.65,0.62,0.59,0.6,0.6
95,0.78,0.78,0.85,0.84,0.84,0.83,0.82,0.81,0.79,0.78,0.76,0.74,0.72,0.7,0.68,0.65,0.63,0.6,0.57,0.58
100,0.84,0.84,0.84,0.83,0.82,0.82,0.81,0.8,0.78,0.77,0.75,0.74,0.72,0.7,0.68,0.66,0.63,0.6,0.58,0.55
