,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.1,0.55,0.64,0.66,0.68,0.69,0.7,0.7,0.71,0.71,0.71,0.71,0.69,0.7,0.7,0.71,0.73,0.72,0.7,0.69,0.72,0.71,0.73,0.72,0.71,0.73,0.72,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.72,0.71,0.7,0.69,0.69,0.68,0.67,0.66,0.65,0.76,0.76,0.76,0.75,0.74,0.74,0.73,0.73,0.72,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74
2,0.55,0.11,0.44,0.55,0.61,0.64,0.66,0.67,0.69,0.69,0.69,0.7,0.68,0.7,0.7,0.7,0.73,0.71,0.7,0.68,0.72,0.71,0.73,0.71,0.74,0.73,0.72,0.78,0.77,0.76,0.76,0.75,0.74,0.73,0.72,0.72,0.71,0.7,0.69,0.68,0.68,0.67,0.66,0.65,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74
3,0.64,0.44,0.11,0.38,0.49,0.55,0.6,0.62,0.65,0.66,0.67,0.68,0.66,0.68,0.68,0.69,0.72,0.7,0.69,0.67,0.71,0.7,0.72,0.71,0.73,0.72,0.71,0.78,0.77,0.76,0.75,0.75,0.74,0.73,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.67,0.66,0.65,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.79,0.79,0.78,0.78,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74
4,0.66,0.55,0.38,0.12,0.33,0.44,0.52,0.56,0.61,0.62,0.64,0.66,0.64,0.66,0.69,0.67,0.7,0.69,0.68,0.66,0.71,0.69,0.71,0.7,0.73,0.72,0.71,0.77,0.76,0.76,0.75,0.74,0.73,0.73,0.72,0.71,0.7,0.7,0.69,0.68,0.67,0.66,0.66,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.72,0.72,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.81,0.81,0.81,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74
5,0.68,0.61,0.49,0.33,0.14,0.29,0.41,0.48,0.54,0.57,0.59,0.62,0.6,0.63,0.66,0.65,0.69,0.67,0.66,0.65,0.69,0.68,0.7,0.69,0.72,0.71,0.7,0.77,0.76,0.75,0.75,0.74,0.73,0.72,0.71,0.71,0.7,0.69,0.68,0.68,0.67,0.66,0.65,0.76,0.76,0.76,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.79,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.74,0.74
6,0.69,0.64,0.55,0.44,0.29,0.11,0.28,0.38,0.47,0.51,0.54,0.58,0.56,0.6,0.64,0.63,0.67,0.66,0.64,0.63,0.68,0.67,0.69,0.68,0.71,0.7,0.69,0.76,0.75,0.75,0.74,0.73,0.72,0.72,0.71,0.7,0.69,0.69,0.68,0.67,0.66,0.66,0.65,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.78,0.78,0.78,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74
7,0.7,0.66,0.6,0.52,0.41,0.28,0.12,0.26,0.38,0.43,0.48,0.53,0.57,0.56,0.61,0.6,0.64,0.63,0.62,0.67,0.66,0.66,0.68,0.67,0.7,0.69,0.68,0.75,0.75,0.74,0.73,0.72,0.72,0.71,0.7,0.7,0.69,0.68,0.67,0.67,0.66,0.65,0.64,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.78,0.78,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74
8,0.7,0.67,0.62,0.56,0.48,0.38,0.26,0.12,0.27,0.34,0.41,0.47,0.52,0.52,0.57,0.56,0.61,0.61,0.6,0.66,0.65,0.64,0.66,0.65,0.69,0.68,0.67,0.74,0.74,0.73,0.73,0.72,0.71,0.7,0.7,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.64,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.78,0.78,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74
9,0.71,0.69,0.65,0.61,0.54,0.47,0.38,0.27,0.15,0.25,0.33,0.4,0.47,0.46,0.53,0.52,0.58,0.58,0.57,0.63,0.62,0.62,0.65,0.64,0.67,0.66,0.66,0.73,0.73,0.72,0.72,0.71,0.7,0.7,0.69,0.68,0.68,0.67,0.66,0.65,0.65,0.64,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.78,0.77,0.77,0.77,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.74,0.73,0.73,0.72,0.72,0.81,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.73
10,0.71,0.69,0.66,0.62,0.57,0.51,0.43,0.34,0.25,0.14,0.24,0.33,0.41,0.41,0.48,0.48,0.55,0.54,0.54,0.61,0.6,0.59,0.63,0.66,0.66,0.65,0.64,0.72,0.72,0.71,0.71,0.7,0.69,0.69,0.68,0.67,0.67,0.66,0.65,0.65,0.64,0.63,0.75,0.75,0.74,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.7,0.77,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.72,0.72,0.81,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.73
